stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
SPGI,371.690002,9.788362238878506,13.12374050866684,15.183314208577428,18.873572553898963,6.1079286888135735,-57.228843335338865,36.43876974596361,0.02161773239671046
QCOM,107.68,4.06576505537403,5.451895539494444,6.223383982181005,7.952883849127396,2.5666293130089723,-21.1064333562355,17.279589197108734,-0.025959436888830317
AMAT,136.169998,5.748079918768553,7.236002961572366,8.079955743228425,9.65379502165854,3.489331903621306,-16.360828465337207,27.127742182357252,-0.018167506036093364
BA,197.710007,6.304662038158256,8.83676759463123,10.327447393512642,13.432236215858598,4.124327216299894,-29.988512511300513,24.683017328840293,-0.022896806559326757
UPS,153.779999,3.8806262040825175,5.157279818413118,5.699908908103481,7.456978940317576,2.4546399181755865,-21.75451726646284,21.878672907557927,0.08705673949748897
NKE,90.849998,2.8054635711116305,4.233160000184355,5.11574840650664,7.275174093628234,1.9737001010873443,-19.20208510797778,48.458247252787515,-0.00024358997874661555
NOW,554.090027,22.255857866228894,30.618323250615052,34.92082237004263,44.21652177938749,14.00474159956325,-93.87199842048335,78.83127852760992,0.10552959135856335
T,15.12,0.3757913665965198,0.619703205101799,0.7595656286476444,1.1756411365444739,0.2699723431715872,-4.5270260448155835,3.9329115646948676,-0.007447113171264085
GS,327.890015,8.350127516472696,11.025670509690771,12.480725762854945,15.999982135289997,5.204452317663961,-30.47104096897658,42.729312227473486,0.03366466356860401
BKNG,3062.540039,94.94200630511159,128.37752395342076,146.99886204440872,183.66817746750473,58.943317484726826,-282.2538205970095,349.12055561888565,-0.7068193680072408
MS,83.290001,2.2963350922791506,3.0161188722013716,3.400381106744149,4.285108065771259,1.4023827295948765,-8.699216304641368,10.583811344918075,-0.04133781349716576
MDT,80.269997,1.805898064600143,2.7175613375340935,3.215280545090181,4.562396305042213,1.2670370082445654,-24.419414903785395,8.590302266107273,0.05410024960373826
